tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
tt0000002,short,Le clown et ses chiens,Le clown et ses chiens,0,1892,\N,5,"Animation,Short"
tt0000003,short,Pauvre Pierrot,Pauvre Pierrot,0,1892,\N,4,"Animation,Comedy,Romance"
tt0000004,short,Un bon bock,Un bon bock,0,1892,\N,12,"Animation,Short"
tt0000015,short,Autour d'une cabine,Autour d'une cabine,0,1894,\N,2,"Animation,Short"
tt0000233,short,Choque de dos transatlánticos,Choque de dos transatlánticos,0,1899,\N,2,"Animation,Short"
tt0000251,short,Matches: An Appeal,Matches: An Appeal,0,1899,\N,1,"Animation,Short"
tt0000300,short,The Enchanted Drawing,The Enchanted Drawing,0,1900,\N,2,"Animation,Comedy,Fantasy"
tt0000516,short,The Electric Hotel,El hotel eléctrico,0,1908,\N,8,"Animation,Fantasy,Sci-Fi"
tt0000552,short,The Hand of the Artist,The Hand of the Artist,0,1907,\N,2,"Animation,Short"
tt0014043,short,Fishing for Tarpon,Fishing for Tarpon,0,1923,\N,10,"Animation,Short"
